,Unnamed: 0,state,year,EV Registrations,Total Vehicles,EV Share (%),Stations,Total Charging Outlets,Level 1,Level 2,DC Fast,fuel_economy,Incentives,Number of Metro Organizing Committees,Population_20_64,Education_Bachelor,Labour_Force_Participation_Rate,Unemployment_Rate,Bachelor_Attainment,Per_Cap_Income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,Total,Trucks,Trucks_Share,Party
0,0,Alabama,2023,13000,4835900,0.27,424,1096,35,704,357,26.30215827,16.0,14.0,2900643.0,772092.0,74.1,3.5,26.62,35046.0,50.28,58.17,27.69,36.36,51.68,39.06,62.16,69.01,54.95,11.47,2.742,5446619.0,3397136.694,62.37,Republican
1,1,Alaska,2023,2700,559800,0.48,65,124,3,87,34,26.30215827,15.0,2.0,440628.0,126853.0,79.2,4.5,28.79,45792.0,60.66,65.95,38.61,43.68,53.11,43.28,65.38,71.61,62.49,21.41,3.594,680974.0,517524.9903,76.0,Republican
2,2,Arizona,2023,89800,6529000,1.38,1198,3506,9,2478,1019,26.30215827,50.0,8.0,4211120.0,1264694.0,77.9,3.8,30.03,41290.0,63.12,65.85,37.28,44.87,55.67,46.92,64.73,73.19,64.32,12.19,3.278,6447062.0,3868117.861,60.0,Democratic
3,3,Arkansas,2023,7100,2708300,0.26,334,833,3,709,121,26.30215827,24.0,8.0,1731063.0,419237.0,74.5,3.9,24.22,33012.0,52.43,60.02,28.37,37.78,50.82,39.08,63.39,68.58,56.21,9.73,2.76,3338322.0,2291924.212,68.65,Republican
4,4,California,2023,1256600,36850300,3.41,16381,49433,648,38217,10548,26.30215827,151.0,18.0,23173030.0,7978166.0,79.2,5.2,34.43,48013.0,68.39,72.79,42.73,52.83,60.48,53.19,72.08,76.3,71.24,24.87,4.731,31057329.0,16757878.09,53.96,Democratic
5,5,Colorado,2023,90100,5441800,1.66,2165,5432,90,4414,928,26.30215827,97.0,5.0,3569927.0,1512640.0,83.4,3.4,42.37,51768.0,67.94,69.2,41.85,46.94,56.37,46.66,66.86,74.75,67.15,11.76,3.152,5211580.0,3619329.359,69.45,Democratic
6,6,Connecticut,2023,31600,2945700,1.07,865,2547,64,2065,417,26.30215827,44.0,8.0,2102108.0,849843.0,82.7,4.3,40.43,53119.0,68.82,70.97,39.13,47.45,58.01,47.0,72.51,77.92,69.1,24.24,3.043,2837111.0,1652722.745,58.25,Democratic
7,7,Delaware,2023,8400,914700,0.92,197,523,5,321,197,26.30215827,31.0,4.0,572873.0,191352.0,80.8,3.3,33.4,44350.0,62.94,68.12,35.47,46.12,58.49,47.1,65.97,73.81,62.85,12.85,2.964,445240.0,262590.6036,58.98,Democratic
8,8,District Of Columbia,2023,8100,312100,2.6,369,1158,26,1081,51,26.30215827,,2.0,444851.0,274268.0,85.6,5.1,61.65,78479.0,77.86,79.87,46.77,59.52,68.66,58.57,76.55,82.28,76.05,16.5,3.174,,,,
9,9,Florida,2023,254900,18583200,1.37,3430,9763,364,7235,2164,26.30215827,69.0,27.0,12789695.0,4148663.0,78.5,3.8,32.44,41902.0,61.4,65.94,34.49,44.86,58.67,47.25,66.88,74.41,63.49,13.53,3.117,19519552.0,11384590.43,58.32,Republican
10,10,Georgia,2023,92400,9642400,0.96,1886,4994,230,3675,1089,26.30215827,32.0,16.0,6493223.0,2138391.0,78.3,4.2,32.93,39685.0,60.57,61.26,32.95,43.74,57.37,46.27,66.48,72.64,61.86,11.06,2.908,9195822.0,5648441.847,61.42,Democratic
